"","REF_DATE","GEO","Violations","Statistics","VALUE","UOM"
"19308",2012,"New Brunswick","Total, all violations","Percentage contribution to the Crime Severity Index (CSI)",100,"Percent"
"19309",2012,"New Brunswick","Total, all Criminal Code violations (including traffic)","Actual incidents",44579,"Number"
"19310",2012,"New Brunswick","Total, all Criminal Code violations (including traffic)","Rate per 100,000 population",5878.2,"Rate"
"19311",2012,"New Brunswick","Total, all Criminal Code violations (including traffic)","Percentage contribution to the Crime Severity Index (CSI)",94.1,"Percent"
"19312",2012,"New Brunswick","Total, all Criminal Code violations (excluding traffic)","Actual incidents",41674,"Number"
"19313",2012,"New Brunswick","Total, all Criminal Code violations (excluding traffic)","Rate per 100,000 population",5495.15,"Rate"
"19314",2012,"New Brunswick","Total, all Criminal Code violations (excluding traffic)","Percentage contribution to the Crime Severity Index (CSI)",91.16,"Percent"
"19315",2012,"New Brunswick","Total violent Criminal Code violations","Actual incidents",11131,"Number"
"19316",2012,"New Brunswick","Total violent Criminal Code violations","Rate per 100,000 population",1467.74,"Rate"
"19317",2012,"New Brunswick","Total violent Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",25.65,"Percent"
"19318",2012,"New Brunswick","Total other violations causing death","Actual incidents",2,"Number"
"19319",2012,"New Brunswick","Total other violations causing death","Rate per 100,000 population",0.26,"Rate"
"19320",2012,"New Brunswick","Total other violations causing death","Percentage contribution to the Crime Severity Index (CSI)",0.05,"Percent"
"19321",2012,"New Brunswick","Total sexual violations against children","Actual incidents",133,"Number"
"19322",2012,"New Brunswick","Total sexual violations against children","Rate per 100,000 population",17.54,"Rate"
"19323",2012,"New Brunswick","Total sexual violations against children","Percentage contribution to the Crime Severity Index (CSI)",1.45,"Percent"
"19324",2012,"New Brunswick","Total assaults against a peace officer","Actual incidents",238,"Number"
"19325",2012,"New Brunswick","Total assaults against a peace officer","Rate per 100,000 population",31.38,"Rate"
"19326",2012,"New Brunswick","Total assaults against a peace officer","Percentage contribution to the Crime Severity Index (CSI)",0.38,"Percent"
"19327",2012,"New Brunswick","Total other assaults","Actual incidents",20,"Number"
"19328",2012,"New Brunswick","Total other assaults","Rate per 100,000 population",2.64,"Rate"
"19329",2012,"New Brunswick","Total other assaults","Percentage contribution to the Crime Severity Index (CSI)",0.06,"Percent"
"19330",2012,"New Brunswick","Total firearms, use of, discharge, pointing","Actual incidents",72,"Number"
"19331",2012,"New Brunswick","Total firearms, use of, discharge, pointing","Rate per 100,000 population",9.49,"Rate"
"19332",2012,"New Brunswick","Total firearms, use of, discharge, pointing","Percentage contribution to the Crime Severity Index (CSI)",1.19,"Percent"
"19333",2012,"New Brunswick","Total robbery","Actual incidents",161,"Number"
"19334",2012,"New Brunswick","Total robbery","Rate per 100,000 population",21.23,"Rate"
"19335",2012,"New Brunswick","Total robbery","Percentage contribution to the Crime Severity Index (CSI)",2.74,"Percent"
"19336",2012,"New Brunswick","Total forcible confinement or kidnapping","Actual incidents",28,"Number"
"19337",2012,"New Brunswick","Total forcible confinement or kidnapping","Rate per 100,000 population",3.69,"Rate"
"19338",2012,"New Brunswick","Total forcible confinement or kidnapping","Percentage contribution to the Crime Severity Index (CSI)",0.46,"Percent"
"19339",2012,"New Brunswick","Total abduction","Actual incidents",13,"Number"
"19340",2012,"New Brunswick","Total abduction","Rate per 100,000 population",1.71,"Rate"
"19341",2012,"New Brunswick","Total abduction","Percentage contribution to the Crime Severity Index (CSI)",0.06,"Percent"
"19342",2012,"New Brunswick","Total offences in relation to sexual services","Actual incidents",NA,"Number"
"19343",2012,"New Brunswick","Total offences in relation to sexual services","Rate per 100,000 population",NA,"Rate"
"19344",2012,"New Brunswick","Total offences in relation to sexual services","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19345",2012,"New Brunswick","Total other violent violations","Actual incidents",105,"Number"
"19346",2012,"New Brunswick","Total other violent violations","Rate per 100,000 population",13.85,"Rate"
"19347",2012,"New Brunswick","Total other violent violations","Percentage contribution to the Crime Severity Index (CSI)",0.75,"Percent"
"19348",2012,"New Brunswick","Total property crime violations","Actual incidents",24408,"Number"
"19349",2012,"New Brunswick","Total property crime violations","Rate per 100,000 population",3218.45,"Rate"
"19350",2012,"New Brunswick","Total property crime violations","Percentage contribution to the Crime Severity Index (CSI)",57.54,"Percent"
"19351",2012,"New Brunswick","Total breaking and entering","Actual incidents",3628,"Number"
"19352",2012,"New Brunswick","Total breaking and entering","Rate per 100,000 population",478.39,"Rate"
"19353",2012,"New Brunswick","Total breaking and entering","Percentage contribution to the Crime Severity Index (CSI)",25.62,"Percent"
"19354",2012,"New Brunswick","Total possession of stolen property","Actual incidents",316,"Number"
"19355",2012,"New Brunswick","Total possession of stolen property","Rate per 100,000 population",41.67,"Rate"
"19356",2012,"New Brunswick","Total possession of stolen property","Percentage contribution to the Crime Severity Index (CSI)",0.87,"Percent"
"19357",2012,"New Brunswick","Total trafficking in stolen property","Actual incidents",11,"Number"
"19358",2012,"New Brunswick","Total trafficking in stolen property","Rate per 100,000 population",1.45,"Rate"
"19359",2012,"New Brunswick","Total trafficking in stolen property","Percentage contribution to the Crime Severity Index (CSI)",0.03,"Percent"
"19360",2012,"New Brunswick","Total theft of motor vehicle","Actual incidents",1150,"Number"
"19361",2012,"New Brunswick","Total theft of motor vehicle","Rate per 100,000 population",151.64,"Rate"
"19362",2012,"New Brunswick","Total theft of motor vehicle","Percentage contribution to the Crime Severity Index (CSI)",2.73,"Percent"
"19363",2012,"New Brunswick","Total theft over $5,000 (non-motor vehicle)","Actual incidents",242,"Number"
"19364",2012,"New Brunswick","Total theft over $5,000 (non-motor vehicle)","Rate per 100,000 population",31.91,"Rate"
"19365",2012,"New Brunswick","Total theft over $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",1.12,"Percent"
"19366",2012,"New Brunswick","Total theft under $5,000 (non-motor vehicle)","Actual incidents",9978,"Number"
"19367",2012,"New Brunswick","Total theft under $5,000 (non-motor vehicle)","Rate per 100,000 population",1315.7,"Rate"
"19368",2012,"New Brunswick","Total theft under $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",12.16,"Percent"
"19369",2012,"New Brunswick","Total mischief","Actual incidents",6950,"Number"
"19370",2012,"New Brunswick","Total mischief","Rate per 100,000 population",916.43,"Rate"
"19371",2012,"New Brunswick","Total mischief","Percentage contribution to the Crime Severity Index (CSI)",6.38,"Percent"
"19372",2012,"New Brunswick","Total other Criminal Code violations","Actual incidents",6135,"Number"
"19373",2012,"New Brunswick","Total other Criminal Code violations","Rate per 100,000 population",808.96,"Rate"
"19374",2012,"New Brunswick","Total other Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",7.96,"Percent"
"19375",2012,"New Brunswick","Total weapons violations","Actual incidents",196,"Number"
"19376",2012,"New Brunswick","Total weapons violations","Rate per 100,000 population",25.84,"Rate"
"19377",2012,"New Brunswick","Total weapons violations","Percentage contribution to the Crime Severity Index (CSI)",0.67,"Percent"
"19378",2012,"New Brunswick","Total prostitution","Actual incidents",72,"Number"
"19379",2012,"New Brunswick","Total prostitution","Rate per 100,000 population",9.49,"Rate"
"19380",2012,"New Brunswick","Total prostitution","Percentage contribution to the Crime Severity Index (CSI)",0.38,"Percent"
"19381",2012,"New Brunswick","Total administration of justice violations","Actual incidents",3001,"Number"
"19382",2012,"New Brunswick","Total administration of justice violations","Rate per 100,000 population",395.71,"Rate"
"19383",2012,"New Brunswick","Total administration of justice violations","Percentage contribution to the Crime Severity Index (CSI)",2.81,"Percent"
"19384",2012,"New Brunswick","Total other violations","Actual incidents",1207,"Number"
"19385",2012,"New Brunswick","Total other violations","Rate per 100,000 population",159.16,"Rate"
"19386",2012,"New Brunswick","Total other violations","Percentage contribution to the Crime Severity Index (CSI)",3.16,"Percent"
"19387",2012,"New Brunswick","Total Criminal Code traffic violations","Actual incidents",2905,"Number"
"19388",2012,"New Brunswick","Total Criminal Code traffic violations","Rate per 100,000 population",383.05,"Rate"
"19389",2012,"New Brunswick","Total Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",2.93,"Percent"
"19390",2012,"New Brunswick","Total impaired driving","Actual incidents",2181,"Number"
"19391",2012,"New Brunswick","Total impaired driving","Rate per 100,000 population",287.59,"Rate"
"19392",2012,"New Brunswick","Total impaired driving","Percentage contribution to the Crime Severity Index (CSI)",1.2,"Percent"
"19393",2012,"New Brunswick","Total other Criminal Code traffic violations","Actual incidents",724,"Number"
"19394",2012,"New Brunswick","Total other Criminal Code traffic violations","Rate per 100,000 population",95.47,"Rate"
"19395",2012,"New Brunswick","Total other Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",1.74,"Percent"
"19396",2012,"New Brunswick","Total fail to stop or remain","Actual incidents",282,"Number"
"19397",2012,"New Brunswick","Total fail to stop or remain","Rate per 100,000 population",37.18,"Rate"
"19398",2012,"New Brunswick","Total fail to stop or remain","Percentage contribution to the Crime Severity Index (CSI)",0.54,"Percent"
"19399",2012,"New Brunswick","Total Federal Statute violations","Actual incidents",2919,"Number"
"19400",2012,"New Brunswick","Total Federal Statute violations","Rate per 100,000 population",384.9,"Rate"
"19401",2012,"New Brunswick","Total Federal Statute violations","Percentage contribution to the Crime Severity Index (CSI)",5.9,"Percent"
"19402",2012,"New Brunswick","Total drug violations","Actual incidents",1924,"Number"
"19403",2012,"New Brunswick","Total drug violations","Rate per 100,000 population",253.7,"Rate"
"19404",2012,"New Brunswick","Total drug violations","Percentage contribution to the Crime Severity Index (CSI)",3.78,"Percent"
"19405",2012,"New Brunswick","Total, possession, other Controlled Drugs and Substances Act drugs","Actual incidents",157,"Number"
"19406",2012,"New Brunswick","Total, possession, other Controlled Drugs and Substances Act drugs","Rate per 100,000 population",20.7,"Rate"
"19407",2012,"New Brunswick","Total, possession, other Controlled Drugs and Substances Act drugs","Percentage contribution to the Crime Severity Index (CSI)",0.1,"Percent"
"19408",2012,"New Brunswick","Total cannabis, trafficking, production or distribution (pre-legalization)","Actual incidents",448,"Number"
"19409",2012,"New Brunswick","Total cannabis, trafficking, production or distribution (pre-legalization)","Rate per 100,000 population",59.07,"Rate"
"19410",2012,"New Brunswick","Total cannabis, trafficking, production or distribution (pre-legalization)","Percentage contribution to the Crime Severity Index (CSI)",0.94,"Percent"
"19411",2012,"New Brunswick","Total cocaine, trafficking, production or distribution","Actual incidents",193,"Number"
"19412",2012,"New Brunswick","Total cocaine, trafficking, production or distribution","Rate per 100,000 population",25.45,"Rate"
"19413",2012,"New Brunswick","Total cocaine, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",1.44,"Percent"
"19414",2012,"New Brunswick","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Actual incidents",207,"Number"
"19415",2012,"New Brunswick","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Rate per 100,000 population",27.3,"Rate"
"19416",2012,"New Brunswick","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",1.08,"Percent"
"19417",2012,"New Brunswick","Total Cannabis Act","Actual incidents",NA,"Number"
"19418",2012,"New Brunswick","Total Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19419",2012,"New Brunswick","Total Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19420",2012,"New Brunswick","Total possession - Cannabis Act","Actual incidents",NA,"Number"
"19421",2012,"New Brunswick","Total possession - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19422",2012,"New Brunswick","Total possession - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19423",2012,"New Brunswick","Total distribution - Cannabis Act","Actual incidents",NA,"Number"
"19424",2012,"New Brunswick","Total distribution - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19425",2012,"New Brunswick","Total distribution - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19426",2012,"New Brunswick","Total sale - Cannabis Act","Actual incidents",NA,"Number"
"19427",2012,"New Brunswick","Total sale - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19428",2012,"New Brunswick","Total sale - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19429",2012,"New Brunswick","Total importation and exportation - Cannabis Act","Actual incidents",NA,"Number"
"19430",2012,"New Brunswick","Total importation and exportation - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19431",2012,"New Brunswick","Total importation and exportation - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19432",2012,"New Brunswick","Total production - Cannabis Act","Actual incidents",NA,"Number"
"19433",2012,"New Brunswick","Total production - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19434",2012,"New Brunswick","Total production - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19435",2012,"New Brunswick","Total other Federal Statutes","Actual incidents",643,"Number"
"19436",2012,"New Brunswick","Total other Federal Statutes","Rate per 100,000 population",84.79,"Rate"
"19437",2012,"New Brunswick","Total other Federal Statutes","Percentage contribution to the Crime Severity Index (CSI)",1.89,"Percent"
"19438",2012,"New Brunswick","Total Immigration and Refugee Protection Act","Actual incidents",3,"Number"
"19439",2012,"New Brunswick","Total Immigration and Refugee Protection Act","Rate per 100,000 population",0.4,"Rate"
"19440",2012,"New Brunswick","Total Immigration and Refugee Protection Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19441",2012,"Quebec","Total, all violations","Actual incidents",420295,"Number"
"19442",2012,"Quebec","Total, all violations","Rate per 100,000 population",5213.87,"Rate"
"19443",2012,"Quebec","Total, all violations","Percentage contribution to the Crime Severity Index (CSI)",100,"Percent"
"19444",2012,"Quebec","Total, all Criminal Code violations (including traffic)","Actual incidents",393464,"Number"
"19445",2012,"Quebec","Total, all Criminal Code violations (including traffic)","Rate per 100,000 population",4881.02,"Rate"
"19446",2012,"Quebec","Total, all Criminal Code violations (including traffic)","Percentage contribution to the Crime Severity Index (CSI)",96,"Percent"
"19447",2012,"Quebec","Total, all Criminal Code violations (excluding traffic)","Actual incidents",350676,"Number"
"19448",2012,"Quebec","Total, all Criminal Code violations (excluding traffic)","Rate per 100,000 population",4350.22,"Rate"
"19449",2012,"Quebec","Total, all Criminal Code violations (excluding traffic)","Percentage contribution to the Crime Severity Index (CSI)",90.49,"Percent"
"19450",2012,"Quebec","Total violent Criminal Code violations","Actual incidents",84795,"Number"
"19451",2012,"Quebec","Total violent Criminal Code violations","Rate per 100,000 population",1051.9,"Rate"
"19452",2012,"Quebec","Total violent Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",28.49,"Percent"
"19453",2012,"Quebec","Total other violations causing death","Actual incidents",25,"Number"
"19454",2012,"Quebec","Total other violations causing death","Rate per 100,000 population",0.31,"Rate"
"19455",2012,"Quebec","Total other violations causing death","Percentage contribution to the Crime Severity Index (CSI)",0.06,"Percent"
"19456",2012,"Quebec","Total sexual violations against children","Actual incidents",1212,"Number"
"19457",2012,"Quebec","Total sexual violations against children","Rate per 100,000 population",15.04,"Rate"
"19458",2012,"Quebec","Total sexual violations against children","Percentage contribution to the Crime Severity Index (CSI)",1.19,"Percent"
"19459",2012,"Quebec","Total assaults against a peace officer","Actual incidents",3101,"Number"
"19460",2012,"Quebec","Total assaults against a peace officer","Rate per 100,000 population",38.47,"Rate"
"19461",2012,"Quebec","Total assaults against a peace officer","Percentage contribution to the Crime Severity Index (CSI)",0.47,"Percent"
"19462",2012,"Quebec","Total other assaults","Actual incidents",416,"Number"
"19463",2012,"Quebec","Total other assaults","Rate per 100,000 population",5.16,"Rate"
"19464",2012,"Quebec","Total other assaults","Percentage contribution to the Crime Severity Index (CSI)",0.16,"Percent"
"19465",2012,"Quebec","Total firearms, use of, discharge, pointing","Actual incidents",357,"Number"
"19466",2012,"Quebec","Total firearms, use of, discharge, pointing","Rate per 100,000 population",4.43,"Rate"
"19467",2012,"Quebec","Total firearms, use of, discharge, pointing","Percentage contribution to the Crime Severity Index (CSI)",0.44,"Percent"
"19468",2012,"Quebec","Total robbery","Actual incidents",5796,"Number"
"19469",2012,"Quebec","Total robbery","Rate per 100,000 population",71.9,"Rate"
"19470",2012,"Quebec","Total robbery","Percentage contribution to the Crime Severity Index (CSI)",8.93,"Percent"
"19471",2012,"Quebec","Total forcible confinement or kidnapping","Actual incidents",1243,"Number"
"19472",2012,"Quebec","Total forcible confinement or kidnapping","Rate per 100,000 population",15.42,"Rate"
"19473",2012,"Quebec","Total forcible confinement or kidnapping","Percentage contribution to the Crime Severity Index (CSI)",1.64,"Percent"
"19474",2012,"Quebec","Total abduction","Actual incidents",116,"Number"
"19475",2012,"Quebec","Total abduction","Rate per 100,000 population",1.44,"Rate"
"19476",2012,"Quebec","Total abduction","Percentage contribution to the Crime Severity Index (CSI)",0.03,"Percent"
"19477",2012,"Quebec","Total offences in relation to sexual services","Actual incidents",NA,"Number"
"19478",2012,"Quebec","Total offences in relation to sexual services","Rate per 100,000 population",NA,"Rate"
"19479",2012,"Quebec","Total offences in relation to sexual services","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19480",2012,"Quebec","Total other violent violations","Actual incidents",1748,"Number"
"19481",2012,"Quebec","Total other violent violations","Rate per 100,000 population",21.68,"Rate"
"19482",2012,"Quebec","Total other violent violations","Percentage contribution to the Crime Severity Index (CSI)",0.79,"Percent"
"19483",2012,"Quebec","Total property crime violations","Actual incidents",219123,"Number"
"19484",2012,"Quebec","Total property crime violations","Rate per 100,000 population",2718.28,"Rate"
"19485",2012,"Quebec","Total property crime violations","Percentage contribution to the Crime Severity Index (CSI)",56.48,"Percent"
"19486",2012,"Quebec","Total breaking and entering","Actual incidents",46493,"Number"
"19487",2012,"Quebec","Total breaking and entering","Rate per 100,000 population",576.76,"Rate"
"19488",2012,"Quebec","Total breaking and entering","Percentage contribution to the Crime Severity Index (CSI)",29.71,"Percent"
"19489",2012,"Quebec","Total possession of stolen property","Actual incidents",1926,"Number"
"19490",2012,"Quebec","Total possession of stolen property","Rate per 100,000 population",23.89,"Rate"
"19491",2012,"Quebec","Total possession of stolen property","Percentage contribution to the Crime Severity Index (CSI)",0.48,"Percent"
"19492",2012,"Quebec","Total trafficking in stolen property","Actual incidents",257,"Number"
"19493",2012,"Quebec","Total trafficking in stolen property","Rate per 100,000 population",3.19,"Rate"
"19494",2012,"Quebec","Total trafficking in stolen property","Percentage contribution to the Crime Severity Index (CSI)",0.06,"Percent"
"19495",2012,"Quebec","Total theft of motor vehicle","Actual incidents",20884,"Number"
"19496",2012,"Quebec","Total theft of motor vehicle","Rate per 100,000 population",259.07,"Rate"
"19497",2012,"Quebec","Total theft of motor vehicle","Percentage contribution to the Crime Severity Index (CSI)",4.49,"Percent"
"19498",2012,"Quebec","Total theft over $5,000 (non-motor vehicle)","Actual incidents",4207,"Number"
"19499",2012,"Quebec","Total theft over $5,000 (non-motor vehicle)","Rate per 100,000 population",52.19,"Rate"
"19500",2012,"Quebec","Total theft over $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",1.77,"Percent"
"19501",2012,"Quebec","Total theft under $5,000 (non-motor vehicle)","Actual incidents",84465,"Number"
"19502",2012,"Quebec","Total theft under $5,000 (non-motor vehicle)","Rate per 100,000 population",1047.81,"Rate"
"19503",2012,"Quebec","Total theft under $5,000 (non-motor vehicle)","Percentage contribution to the Crime Severity Index (CSI)",9.32,"Percent"
"19504",2012,"Quebec","Total mischief","Actual incidents",40357,"Number"
"19505",2012,"Quebec","Total mischief","Rate per 100,000 population",500.64,"Rate"
"19506",2012,"Quebec","Total mischief","Percentage contribution to the Crime Severity Index (CSI)",3.35,"Percent"
"19507",2012,"Quebec","Total other Criminal Code violations","Actual incidents",46758,"Number"
"19508",2012,"Quebec","Total other Criminal Code violations","Rate per 100,000 population",580.04,"Rate"
"19509",2012,"Quebec","Total other Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",5.51,"Percent"
"19510",2012,"Quebec","Total weapons violations","Actual incidents",1797,"Number"
"19511",2012,"Quebec","Total weapons violations","Rate per 100,000 population",22.29,"Rate"
"19512",2012,"Quebec","Total weapons violations","Percentage contribution to the Crime Severity Index (CSI)",0.64,"Percent"
"19513",2012,"Quebec","Total prostitution","Actual incidents",332,"Number"
"19514",2012,"Quebec","Total prostitution","Rate per 100,000 population",4.12,"Rate"
"19515",2012,"Quebec","Total prostitution","Percentage contribution to the Crime Severity Index (CSI)",0.09,"Percent"
"19516",2012,"Quebec","Total administration of justice violations","Actual incidents",39091,"Number"
"19517",2012,"Quebec","Total administration of justice violations","Rate per 100,000 population",484.93,"Rate"
"19518",2012,"Quebec","Total administration of justice violations","Percentage contribution to the Crime Severity Index (CSI)",3.41,"Percent"
"19519",2012,"Quebec","Total other violations","Actual incidents",4439,"Number"
"19520",2012,"Quebec","Total other violations","Rate per 100,000 population",55.07,"Rate"
"19521",2012,"Quebec","Total other violations","Percentage contribution to the Crime Severity Index (CSI)",1.05,"Percent"
"19522",2012,"Quebec","Total Criminal Code traffic violations","Actual incidents",42788,"Number"
"19523",2012,"Quebec","Total Criminal Code traffic violations","Rate per 100,000 population",530.8,"Rate"
"19524",2012,"Quebec","Total Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",5.51,"Percent"
"19525",2012,"Quebec","Total impaired driving","Actual incidents",16931,"Number"
"19526",2012,"Quebec","Total impaired driving","Rate per 100,000 population",210.03,"Rate"
"19527",2012,"Quebec","Total impaired driving","Percentage contribution to the Crime Severity Index (CSI)",0.85,"Percent"
"19528",2012,"Quebec","Total other Criminal Code traffic violations","Actual incidents",25857,"Number"
"19529",2012,"Quebec","Total other Criminal Code traffic violations","Rate per 100,000 population",320.76,"Rate"
"19530",2012,"Quebec","Total other Criminal Code traffic violations","Percentage contribution to the Crime Severity Index (CSI)",4.66,"Percent"
"19531",2012,"Quebec","Total fail to stop or remain","Actual incidents",22780,"Number"
"19532",2012,"Quebec","Total fail to stop or remain","Rate per 100,000 population",282.59,"Rate"
"19533",2012,"Quebec","Total fail to stop or remain","Percentage contribution to the Crime Severity Index (CSI)",3.83,"Percent"
"19534",2012,"Quebec","Total Federal Statute violations","Actual incidents",26831,"Number"
"19535",2012,"Quebec","Total Federal Statute violations","Rate per 100,000 population",332.85,"Rate"
"19536",2012,"Quebec","Total Federal Statute violations","Percentage contribution to the Crime Severity Index (CSI)",4,"Percent"
"19537",2012,"Quebec","Total drug violations","Actual incidents",22016,"Number"
"19538",2012,"Quebec","Total drug violations","Rate per 100,000 population",273.11,"Rate"
"19539",2012,"Quebec","Total drug violations","Percentage contribution to the Crime Severity Index (CSI)",3.17,"Percent"
"19540",2012,"Quebec","Total, possession, other Controlled Drugs and Substances Act drugs","Actual incidents",3236,"Number"
"19541",2012,"Quebec","Total, possession, other Controlled Drugs and Substances Act drugs","Rate per 100,000 population",40.14,"Rate"
"19542",2012,"Quebec","Total, possession, other Controlled Drugs and Substances Act drugs","Percentage contribution to the Crime Severity Index (CSI)",0.23,"Percent"
"19543",2012,"Quebec","Total cannabis, trafficking, production or distribution (pre-legalization)","Actual incidents",4026,"Number"
"19544",2012,"Quebec","Total cannabis, trafficking, production or distribution (pre-legalization)","Rate per 100,000 population",49.94,"Rate"
"19545",2012,"Quebec","Total cannabis, trafficking, production or distribution (pre-legalization)","Percentage contribution to the Crime Severity Index (CSI)",0.77,"Percent"
"19546",2012,"Quebec","Total cocaine, trafficking, production or distribution","Actual incidents",1083,"Number"
"19547",2012,"Quebec","Total cocaine, trafficking, production or distribution","Rate per 100,000 population",13.43,"Rate"
"19548",2012,"Quebec","Total cocaine, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",0.9,"Percent"
"19549",2012,"Quebec","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Actual incidents",1671,"Number"
"19550",2012,"Quebec","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Rate per 100,000 population",20.73,"Rate"
"19551",2012,"Quebec","Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution","Percentage contribution to the Crime Severity Index (CSI)",1.01,"Percent"
"19552",2012,"Quebec","Total Cannabis Act","Actual incidents",NA,"Number"
"19553",2012,"Quebec","Total Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19554",2012,"Quebec","Total Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19555",2012,"Quebec","Total possession - Cannabis Act","Actual incidents",NA,"Number"
"19556",2012,"Quebec","Total possession - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19557",2012,"Quebec","Total possession - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19558",2012,"Quebec","Total distribution - Cannabis Act","Actual incidents",NA,"Number"
"19559",2012,"Quebec","Total distribution - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19560",2012,"Quebec","Total distribution - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19561",2012,"Quebec","Total sale - Cannabis Act","Actual incidents",NA,"Number"
"19562",2012,"Quebec","Total sale - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19563",2012,"Quebec","Total sale - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19564",2012,"Quebec","Total importation and exportation - Cannabis Act","Actual incidents",NA,"Number"
"19565",2012,"Quebec","Total importation and exportation - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19566",2012,"Quebec","Total importation and exportation - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19567",2012,"Quebec","Total production - Cannabis Act","Actual incidents",NA,"Number"
"19568",2012,"Quebec","Total production - Cannabis Act","Rate per 100,000 population",NA,"Rate"
"19569",2012,"Quebec","Total production - Cannabis Act","Percentage contribution to the Crime Severity Index (CSI)",NA,"Percent"
"19570",2012,"Quebec","Total other Federal Statutes","Actual incidents",3013,"Number"
"19571",2012,"Quebec","Total other Federal Statutes","Rate per 100,000 population",37.38,"Rate"
"19572",2012,"Quebec","Total other Federal Statutes","Percentage contribution to the Crime Severity Index (CSI)",0.72,"Percent"
"19573",2012,"Quebec","Total Immigration and Refugee Protection Act","Actual incidents",96,"Number"
"19574",2012,"Quebec","Total Immigration and Refugee Protection Act","Rate per 100,000 population",1.19,"Rate"
"19575",2012,"Quebec","Total Immigration and Refugee Protection Act","Percentage contribution to the Crime Severity Index (CSI)",0.01,"Percent"
"19576",2012,"Ontario","Total, all violations","Actual incidents",618486,"Number"
"19577",2012,"Ontario","Total, all violations","Rate per 100,000 population",4618.8,"Rate"
"19578",2012,"Ontario","Total, all violations","Percentage contribution to the Crime Severity Index (CSI)",100,"Percent"
"19579",2012,"Ontario","Total, all Criminal Code violations (including traffic)","Actual incidents",575615,"Number"
"19580",2012,"Ontario","Total, all Criminal Code violations (including traffic)","Rate per 100,000 population",4298.64,"Rate"
"19581",2012,"Ontario","Total, all Criminal Code violations (including traffic)","Percentage contribution to the Crime Severity Index (CSI)",95.21,"Percent"
"19582",2012,"Ontario","Total, all Criminal Code violations (excluding traffic)","Actual incidents",543388,"Number"
"19583",2012,"Ontario","Total, all Criminal Code violations (excluding traffic)","Rate per 100,000 population",4057.97,"Rate"
"19584",2012,"Ontario","Total, all Criminal Code violations (excluding traffic)","Percentage contribution to the Crime Severity Index (CSI)",92.63,"Percent"
"19585",2012,"Ontario","Total violent Criminal Code violations","Actual incidents",121840,"Number"
"19586",2012,"Ontario","Total violent Criminal Code violations","Rate per 100,000 population",909.89,"Rate"
"19587",2012,"Ontario","Total violent Criminal Code violations","Percentage contribution to the Crime Severity Index (CSI)",31.69,"Percent"
